http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/5939631,Sanquhar Academy,67,59,62,65,68,73,62
http://statistics.gov.scot/id/education/establishment/5746434,St Mungo's RC High School,52,72,75,83,71,78,62
http://statistics.gov.scot/id/education/establishment/8516634,Bellshill Academy,56,46,64,61,59,63,61
http://statistics.gov.scot/id/education/establishment/5918030,Castle Douglas High School,78,77,63,59,61,55,61
http://statistics.gov.scot/id/education/establishment/8432236,Cleveden Secondary School,43,48,50,44,47,55,61
http://statistics.gov.scot/id/education/establishment/5202736,Elgin Academy,73,65,63,58,60,63,61
http://statistics.gov.scot/id/education/establishment/5446732,Inverkeithing High School,75,83,82,78,68,65,61
http://statistics.gov.scot/id/education/establishment/5308038,Montrose Academy,58,63,62,54,62,75,61
http://statistics.gov.scot/id/education/establishment/5130239,Ardnamurchan High School,62,77,*,*,*,67,60
http://statistics.gov.scot/id/education/establishment/5406838,Balwearie High School,62,65,66,70,67,72,60
http://statistics.gov.scot/id/education/establishment/5234034,Bucksburn Academy,46,57,55,55,57,59,60
http://statistics.gov.scot/id/education/establishment/5502535,Deans Community High School,54,57,63,61,62,65,60
http://statistics.gov.scot/id/education/establishment/5406536,Glenwood High School,60,55,55,54,67,66,60
http://statistics.gov.scot/id/education/establishment/8236232,Queen Margaret Academy,58,65,76,67,73,68,60
http://statistics.gov.scot/id/education/establishment/5407230,St Andrew's R C High School,69,71,78,64,74,68,60
http://statistics.gov.scot/id/education/establishment/5221234,Turriff Academy,64,61,69,64,66,62,60
http://statistics.gov.scot/id/education/establishment/5702534,Alloa Academy,60,53,49,48,48,61,59
http://statistics.gov.scot/id/education/establishment/8434034,Castlemilk High School,39,43,55,51,60,56,59
http://statistics.gov.scot/id/education/establishment/1002732,Cumbernauld Academy,64,61,66,62,64,60,59
http://statistics.gov.scot/id/education/establishment/5119138,Dingwall Academy,70,60,60,65,67,62,59
http://statistics.gov.scot/id/education/establishment/5647436,Eyemouth High School,52,63,61,64,45,71,59
http://statistics.gov.scot/id/education/establishment/5502632,Inveralmond Community High School,66,66,64,69,56,65,59
http://statistics.gov.scot/id/education/establishment/6233430,Sgoil Lionacleit,74,80,69,*,81,*,59
http://statistics.gov.scot/id/education/establishment/5509432,Bathgate Academy,50,59,52,55,59,62,58
http://statistics.gov.scot/id/education/establishment/5329132,Craigie High School,59,60,52,61,42,62,58
http://statistics.gov.scot/id/education/establishment/5532434,Craigroyston Community High School,38,22,28,33,37,65,58
http://statistics.gov.scot/id/education/establishment/5135532,Kinlochleven High School,50,67,73,52,58,66,58
http://statistics.gov.scot/id/education/establishment/8111030,Lochgilphead High School,74,68,53,65,60,50,58
http://statistics.gov.scot/id/education/establishment/5550831,Musselburgh Grammar School,57,55,58,66,58,70,58
http://statistics.gov.scot/id/education/establishment/5350638,Perth Academy,58,63,62,65,62,68,58
http://statistics.gov.scot/id/education/establishment/8437238,St Andrew's Secondary School,60,54,61,65,54,58,58
